IDP ID,Uniprot ID,Disorder regions,Uniprot ID (obsolete)
IID90040,Q99ZW2,448-502,
IID90025,O29634,201-205,
IID90021,"P12978,Q777H1,Q69023",431-487,
IID90018,P03406,58-73,
IID90015,O73947,118-125,
IID90014,P26554,141-151,
IID90010,P68466,121-126,P18382
IID90009,P61875,"611-616,663-678,705-723,705-728,758-773","P95584,P80061"
IID90008,P0DJ89,"268-314,268-300,268-314",Q8X2D5
IID90007,"P06492,Q09I86,B9VQH6",412-490,
IID90006,P04486,412-490,
IID90005,"P03126,Q71BI7","152-158,152-158",
IID90003,"P03255,P06438,Q64825,Q64826","53-91,1-139",
IID50341,"Q8K368,Q8R3G8,Q8BUE9",554-562,
IID50338,"Q7JQ07,Q05417,Q05415,Q05407",166-188,
IID50331,Q61337,1-182,
IID50312,P20797,150-163,
IID50311,"P19619,Q29547",1-40,
IID50306,O88513,79-87,
IID50303,"O54918,O54919,O54920,A2ALQ6",98-169,
IID50301,O36030,"218-227,244-249,283-301,245-252",
IID50297,G0SDW4,320-360,
IID50287,P97784,40-46,
IID50275,"P38634,D6VY79",1-90,
IID50271,"P20676,D6W2F9","1-973,1-973",
IID50266,"O55000,Q6MG09",309-433,
IID50254,O08773,496-531,
IID50251,"P34021,Q6AWL4,Q9V9K8,Q8SY10,Q95TS4,Q0E9N8",339-364,
IID50247,P02699,330-348,
IID50232,"Q8C351,E9QQ23,Q3TMU7",367-381,
IID50225,"Q07794,D6VY01",143-174,
IID50223,"Q05471,D6VSW6","590-651,590-651",
IID50219,P83940,50-57,Q63182
IID50217,P62878,"40-108,40-108","Q9D1S2,Q8N6Z8,Q9WUK9,Q9Y254"
IID50210,"P40019,D3DLS9",1-137,
IID50205,"P26039,A2AIM8,Q8VEF0",316-326,
IID50204,"P25638,D6VR65",93-111,
IID50197,P07313,578-603,
IID50193,"O35718,P97803,Q3U7X5","22-225,22-29",
IID50189,Q07346,470-495,
IID50167,"P14736,D3DM70",1-120,
IID50166,"P07276,E9P8X9,D6VV38",642-690,
IID50147,"P84233,A4FVE2",2-38,"P17269,P02295,P17320,P16105,P02297"
IID50143,"P61830,Q6B1U3,Q6Q7G9,D6VQ11,E9PAG1","2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38","P13996,P02303"
IID50132,Q5D734,28-33,
IID50121,P61926,"14-34,14-24,14-34,14-34,14-34",P04541
IID50097,"Q8R316,Q3V0I4,Q8BUS3,Q8C199",358-380,
IID50088,Q1EHW4,126-186,
IID50085,"Q03818,D6VZY1","1-57,1-57,1-57",
IID50069,"P11632,D6W459",1-17,
IID50068,"P10279,Q5UK69,Q5UJJ5,Q01880,Q5UK71,Q0VD57,A1YVV9,Q6UL04,Q5UJM6,Q6UL03,Q6UL06,Q6UL05,Q7YRN3,Q8MJI7",25-134,
IID50067,"P06701,D6VZ77,E9P924","77-81,77-81,24-36,24-36,77-81,24-36",
IID50063,"P04911,D6VSK7","127-132,101-132",
IID50058,O35274,"417-494,417-494",
IID50055,"Q8K4J6,Q642U1","16-142,16-142,16-142,16-142",
IID50052,"Q24246,O96508,Q5U0Z1,O96516,O96512,O96511,O96515,O96514,O96510,O96513,Q86BQ5,Q9NG49,Q9TZR9,Q9TZR7,Q9TZR8,Q9TZS0,Q9VR78","84-143,84-143",
IID50049,"P70662,O55204,Q1EQX2,Q71V68","336-374,336-374,336-374,336-374,336-374,336-374,336-374,336-374,336-374",
IID50047,"P61372,Q812D8",262-291,"P20663,P47894"
IID50044,"P35465,Q62934",75-118,
IID50042,"P23615,D6VUP7",239-311,
IID50036,"Q64364,Q9QXC7,Q4U255,Q9R051",1-37,
IID50024,"Q60795,Q3UQK0","1-98,1-98,1-98",
IID50013,Q29495,1-29,
IID50009,"P52293,Q64292",1-70,
IID50008,"P45481,E9QPH4","2057-2117,2057-2117,2057-2117",
IID50007,"P32499,Q06130,D6VYX5","1-720,1-720,1-720",
IID50006,P27782,361-370,
IID50005,"P27577,Q61403",280-308,
IID50004,P15337,101-160,
IID50003,"P09803,Q61377",773-884,
IID00745,"Q9Y6K9,Q7LBY6,Q7Z7F1",1-111,
IID00743,"Q9Y4B6,Q9UG37,Q8TBD9,Q9HCA1,Q2YD74","1418-1507,1418-1507",
IID00726,"Q15418,E9PRI4,Q5SVM5,A6NGG4,B7Z5J0,Q5SVM9,Q96C05,A8K9K7,B2RDY8,Q5SVM8,Q9BQK2","578-583,708-735,688-729,688-729,688-729,708-735,688-729,708-735,708-735,708-735",
IID00725,"Q15022,Q96BD9","150-188,150-188,150-188,201-241,150-188,150-188,201-241,251-367,201-241,251-367,251-367,251-367,251-367,251-367,364-422,534-545",
IID00719,"Q06787,G8JL90,Q99054,D3DWT2,D3DWT0,A6NNH4,Q5PQZ6,Q16578,D3DWT1",527-541,
IID00715,"P49736,Q14577,Q96AE1,Q8N2V1,Q969W7,Q15023,Q9BRM7",63-153,
IID00714,P43405,265-336,
IID00700,"P07355,Q96DD5,Q567R4,Q6N0B3,Q8TBV2,Q9UDH8",1-20,
IID00682,"Q9HC52,Q9NR07,Q96H39",8-61,
IID00669,"Q14457,O75595,Q9UNA8,B2R6N7",105-140,
IID00666,"Q12972,Q9UBZ0,Q5TEJ4,Q9UBH1,Q6PKF6,Q5TEJ2,Q5TIF2",144-225,
IID00661,"P54646,Q9H1E8,Q9UD43",171-176,
IID00647,"P02749,B2R9M3,Q9UCN7",329-339,
IID00633,"P51965,K4DI90,B2RBX4,C9J8K2",1-20,
IID00626,"P48431,Q14537",105-118,
IID00593,"Q15080,Q9BU98,Q9NP45,Q86U56,A8K4F9,O60808",329-339,
IID00588,"Q9NS91,Q58F55,Q9NRT6",341-366,
IID00587,"Q9HCJ0,G3XAB8,Q8N3D8,Q86UE5,Q96MU9",1380-1401,
IID00584,"Q9BQB4,Q495N9",110-137,
IID00582,"Q9BPZ3,Q49A06,Q9P0Q8,Q9H0Y5,B2RBI1,D3DQC6",106-127,
IID00579,"Q99075,B2R821",186-208,
IID00563,"Q13330,A5PLK4,Q86SW2,Q8NFI8,Q96GI8","205-310,205-310,205-310,205-310",
IID00553,"P43403,Q6PIA4,Q9UBS6,Q8IXD6,A6NFP4",257-309,
IID00552,"P42568,B7Z755,B2R7B3,B1AMQ2,Q8IVB0,D3DRJ8","490-568,490-568,490-568",
IID00551,"P41208,Q53XW1,B2R4T4",84-172,
IID00548,"P29083,Q16103",435-439,
IID00544,"P20963,Q5VX13,Q8TAX4,B1AK49","79-93,79-93",
IID00535,"P04629,Q7Z5C3,Q5VZS2,B2R6T5,Q5D056,B7ZM34,P08119,Q9UIU7",473-499,"Q15656,Q15655"
IID00534,"P01137,Q9UCG4,A8K792",286-292,
IID00511,"B5BU19,P29353,Q5T180,Q8N4K5,Q5T183,O15290,D3DV78,Q5T186,Q5T185,Q5T184,Q96CL1","190-221,286-292",
IID00486,"Q8N6T7,O75291,Q8NCD2,Q9BSI5,Q6IAF5,Q6PK99,Q9BWP3,Q9UQD1,Q9NRC7,B2RCD0",7-12,
IID00465,"Q12962,Q6FH13,Q13175,O00703",178-191,
IID00455,P52564,1-43,
IID00447,"P30260,G3V1C4,Q96F35,Q16349",769-824,
IID00438,"P09038,Q9UCS5,P78443,Q16443,A4LBB8,Q5PY50,Q9UC54,Q7KZ11,Q7KZ72,O00527,Q9UCS6",154-157,
IID00435,"O95644,B5B2M8,B5B2M5,B5B2M6,B5B2M7,B5B2M9,B5B2N1,Q12865,Q15793,B5B2M4,Q2M1S3",540-555,
IID00433,"O43524,Q5T2I7,B4DVZ6,E1P5E6,Q9BZ04,O15171","466-481,623-634",
IID00417,"Q8NG31,Q9NR92,Q8NHE1,Q9HCK2,Q8WXA6",243-252,
IID00415,Q01101,2-21,
IID00413,"P36897,Q6IR47,Q706C0,Q706C1",175-199,
IID00412,"P31749,B2RAM5,Q9BWB6,B7Z5R1","189-198,299-312",
IID00410,"P04271,D3DSN6",23-25,
IID00409,"O75496,Q9H1Z1,B3KMM8",161-209,
IID00398,"Q9UER7,F5ANJ6,B4E1I3,O15208,F5ANJ7,O14747,O15141,F5H082,Q5STK9,Q9BWI3",721-740,
IID00381,"Q06455,Q6IBL1,Q16239,B7Z4P4,Q14873,E7EPN4,Q06456,O14784,Q7Z4J5,Q9BRZ0",437-467,"Q16347,Q16346,Q6NXH1,Q92479"
IID00379,"Q03164,Q16364,Q6UBD1,Q59FF2,Q14845,Q9HBJ3,E9PQG7,Q13744,Q9UD94,Q9UMA3","14-25,1620-1628,1620-1628",Q13743
IID00363,"O95863,B2R842,Q9UHH7,Q9P113,Q9UBP7",2-21,
IID00355,"P10600,Q8WV88",355-372,
IID00352,"Q14242,B7Z5C7,B4DQC3,Q6GTW7,A8K2Y0,Q12775,Q8N7J7,J3KMX6",42-60,
IID00349,"P61925,Q6IAV2","1-32,1-32",P04541
IID00347,"Q9Y4P1,Q53NU4,Q9Y2F2,Q8WYM9,B7WNK2,Q96SZ1,Q96K07,Q96K96,Q6ZUV8",378-393,
IID00338,"P08476,Q14599","359-386,359-0,359-386",
IID00332,"Q9UIS9,K7EQZ4,B4DXJ5,K7ESN0,K7ELI2,A4UTZ0,O95241,O15248,Q7Z7B5,Q9UNZ6,Q8N4W4,Q9UNZ7,Q9UNZ8,Q9UNZ9",22-29,E9PEC5
IID00326,"Q96QT6,Q9BV34,Q6ZML2,Q9P205,Q2TAK2,Q0VAI5,Q9H7U9","200-241,200-241",
IID00323,"Q1MX18,Q4AC96,Q3C1V6,Q1MX19,Q4AC98,A0PJX5,Q4AC95,Q4AC97",70-116,
IID00318,"Q13094,A8KA25,Q53XV4",232-241,
IID00316,"Q07960,D3DQQ6","403-412,403-412",
IID00312,"P63000,Q3Y4D3,Q5JAA8","179-192,179-192","P15154,Q9BTB4,O95501"
IID00305,"P51449,Q5SZR9,Q8N5V7,Q8NCY8","480-507,480-507,480-507,480-507",
IID00304,"P46937,E9PRV2,K0KQ18,B7ZA01,F5H202,K0L195,B4DTY1,E3WEB5,E3WEB6,K0KYZ8,K0L1G3,Q8IUY9,Q7Z574",124-133,
IID00302,"P37840,Q13701,Q4JHI3,Q6IAU6,A8K2A4","1-140,1-140,1-140,1-140,1-140,1-140,1-140,1-140,1-140,1-140,1-140,1-140",
IID00294,"P05067,B2R5V1,D3DSD2,P78438,Q13778,Q13764,D3DSD1,B4DII8,P09000,D3DSD3,Q13793,Q16011,Q8WZ99,Q16014,Q16019,Q16020,Q6GSC0,Q9UC33,Q9BT38,Q9UCA9,Q9UCB6,Q9UCD1,Q9UCC8,Q9UQ58",729-770,
IID00293,"P04626,Q6LDV1,B4DHN3,X5D2V5,B2RZG3,Q9UMK4,Q14256",1247-1250,
IID00277,"Q13153,Q32M53,Q32M54,Q13567,O75561,Q86W79","417-425,417-425",
IID00276,"Q07912,Q8N6U7,Q6ZMQ0,Q96H59",448-489,
IID00274,"P61586,Q53HM4,Q5U024,Q9UDJ0","181-193,181-193","P06749,Q9UEJ4"
IID00273,"P52565,A8MXW0,Q6IBM5,B2R5X1","1-60,1-60,1-60","B4DDD3,B4DUV9"
IID00271,"P49137,Q8IYD6,Q5SY30,Q5SY41","217-235,343-400,217-235,343-400,343-400",
IID00269,"P42768,Q9BU11,Q9UNJ9","230-310,230-310,230-310,461-492",
IID00262,"P00533,Q14225,Q92795,P06268,Q9H2C9,Q9BZS2,Q68GS5,Q9GZX1,Q9H3C9,Q9UMD7,Q9UMD8,Q9UMG5",669-688,"O00732,O00688"
IID00261,"O95630,B5M0B6,Q3MJE7,D6W5H7",228-241,
IID00252,"Q9HAU5,Q9P2D9,D3DRS0,Q8N8U1,Q9H1J2,Q9Y4M9,Q5W0J4,Q14BM1,Q9NWL1","1105-1227,1105-1227,1105-1227,1105-1227",A6NLJ5
IID00247,"Q15637,Q92745,Q14819,B7Z1Q1,Q92744,C9JJE2,Q969H7,Q8IY00,Q14818,Q15913,Q9BW01,Q9UEI0",1-25,
IID00239,"P84243,Q5VV56,Q66I33,Q5VV55","1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38","P33155,Q9V3W4,P06351"
IID00238,"B4DMK7,B2RE91,E9PAR5,Q2TS50,P52298,Q14924","1-32,126-156",
IID00232,"O00571,B4E3E8,A8K538,O15536",5-167,
IID00230,"Q9Y3E7,B4DG34,Q9NZ51,Q53S71,B8ZZM0,Q53SU5,A8K3W0,Q3ZTS9",183-222,B8ZZX5
IID00226,"Q9UKV5,P26442,Q8IZ70","579-600,579-600",
IID00225,"Q9UBU9,B4E269,Q99799,Q9UQL2",192-202,
IID00220,"Q92585,Q9NZ12",16-70,
IID00209,"Q05086,Q9UEP9,Q9UEP8,Q9UEP5,Q9UEP6,Q93066,P78355,Q9UEP4,A8K8Z9,Q9UEP7",401-418,
IID00207,"Q04206,Q6SLK1,Q6GTV1","302-316,428-551",
IID00203,"P78504,A0AV43,B4DYR1,Q15816,O14902,O15122,E9PCF9",1094-1218,
IID00200,"P53350,Q15153,Q99746","489-506,489-506",
IID00199,"P46531,Q5SXM3,Q59ED8",1761-1890,
IID00196,"P23025,Q6LD02,Q5T1U9,Q6LCW7",67-80,
IID00194,"P12272,Q6FH74,Q15251",68-144,
IID00190,"E9PCH3,O75533",190-344,
IID00187,"O60828,Q4VY30,Q4VY26,Q4VY29,Q4VY27,Q4VY25,Q4VY36,Q4VY35,C9JQA1,Q4VY34,Q4VY37,Q4VY38,Q9GZP2,Q9GZZ4,Q9GZU4","223-265,223-265,223-265",
IID00185,"O15234,A8K8R0","137-216,137-216,226-250,226-250",
IID00179,"Q99967,O95426,Q5VTF4",220-269,
IID00177,"Q8N700,Q96IZ0,O75796,Q6FHY9",59-77,
IID00175,"Q16633,Q14983,B2R8Z9",1-65,
IID00174,"Q15797,A8KAJ0,Q9UFT8,D3DNZ9,Q16636","454-465,217-267,217-267",
IID00170,"Q13541,D3DSW8,Q6IBN3,B2R502","1-118,1-118,1-118,1-118",
IID00169,"Q13127,Q12956,Q13134,Q8IWI3,A2RUE0,Q12957,Q59ER1,B9EGJ0",1-83,
IID00168,"Q13043,Q9NTZ4,Q15802,Q5H982,Q4G156,Q9BR32,B2RCR8,Q6PD60","326-401,326-401",
IID00167,"Q09161,Q5T1V0,Q5T7X2,Q59G76,B2R718",1-25,
IID00165,"Q05195,B2R6V8,B7ZLI6,D6W5G2,Q6FI41","8-20,8-20",
IID00164,"Q01831,Q53GT7,E9PH69,Q96AX0,B4DIP3,E9PB96","847-863,109-156",
IID00163,"Q00987,A8K2S6,Q13226,Q13297,Q13301,Q53XW0,Q13299,Q13300,Q13298,A6NL51,Q8WYJ1,Q71TW9,Q9UGI3,Q9UMT8,Q8WYJ2",210-304,
IID00162,"P62826,Q6IPB2,Q8NI90,A8K3Z8","177-216,177-216,177-216,177-216","Q86V08,P28746,Q9CSP3,Q9CWI7,P17080,P28747,Q9CZA2,Q9UDJ5,Q9UEU9"
IID00155,"P54274,Q8NHT6,Q93029,A7XP29","139-140,371-382,139-140",Q15553
IID00151,"P49792,Q13074,Q53TE2,Q59FH7,Q15280",1171-1190,
IID00145,"P17096,P10910,Q9UKB0,Q5T6U9","1-107,1-107",
IID00136,"O75928,Q96KE3,O75927,Q96BT5",427-488,
IID00134,"O14745,B3KY21,O43552,Q86WQ5","253-358,253-358",
IID00127,Q15796,"241-264,457-467",
IID00126,"P24928,A6NN93,B9EH88,Q6NX41","1593-1960,1593-1960,1593-1960,1593-1960,1593-1960,1593-1960",
IID00122,"P52907,Q6FHD5,Q53FQ6",265-276,
IID00121,"P22415,B2RBZ4,Q7Z5Y1,Q5SY46",197-260,
IID00119,"P09651,Q6PJZ7,Q3MIB7,A8K4Z8",182-196,
IID00117,"Q9Y5B0,Q96BZ1,A8MY97,Q7Z644,Q9Y6F5","879-961,879-961",
IID00115,"O95149,A8K0B0,D3DW76","1-65,1-65,301-360,1-65,1-65,1-65,1-65,1-65",A6NE34
IID00113,"P84022,A8K4B6,B7Z6M9,B7Z9Q2,F5H383,B7Z4Z5","324-328,146-219,146-219,219-228,417-425","O09064,O35273,O09144,O14510,Q93002,Q92940,Q9GKR4"
IID00112,"O95405,Q5T0F6,Q9Y5R7,Q9UNE1,Q5T0F7",765-853,
IID00110,"Q9Y6Q9,Q9UPG4,Q0VF45,Q5JYD9,Q9UPG7,A4LAZ5,Q9UPC9,Q9BR49,Q5JYE0",1018-1088,
IID00105,"Q9UBT6,Q5Q9G6,Q8IZY0,Q8NB30,Q5Q9G5,Q86VJ8,Q8IZY1,Q5Q9G8,B2RBD2,Q5Q9G7,Q96L01,Q9UHC5,Q96Q87,Q96Q86",21-74,
IID00104,"Q9UBT2,Q9NTJ1,Q59H87,Q9UED2,Q6IBP6,O95605,B3KWB9","551-640,198-239,337-344",
IID00103,"Q9UBK2,I3RTT6,Q3LIG1,I3RTT9,I3RTT7,B7Z406,I3RTT5,Q4W5M7,I3RTT8,G8DM16,Q9UN32",153-220,
IID00100,"E2GH20,Q9NQB0,E2GH19,E2GH24,C6ZRK0,E2GH25,C6ZRJ8,B4DRJ8,B9X074,E2GH14,F8W742,Q9NQB6,Q9NQB5,Q9NQB1,F8W7T5,E9PFH9,Q9NQB4,Q9NQB3,Q9NQB2,O00185,Q9NQB7,Q9ULC2","1-53,1-53,1-53",
IID00094,"Q92973,B4DVC6,Q92975,Q92957","328-378,328-378",
IID00088,"Q71DI3,A2BDF6,Q6B053","1-39,1-39,1-39,1-39,1-39",A6NFS4
IID00086,"Q16695,Q6FGU4,B2R5K3",1-38,
IID00085,"Q16665,Q9UPB1,Q96PT9,C0LZJ3,Q53XP6","776-826,776-826,776-826,530-698,776-826,403-603,530-698",
IID00069,"Q08209,A8K3B7,A8W6Z7,A1A441,A8W6Z8,Q8TAW9,B5BUA2",374-468,
IID00062,"P68431,Q6NWP8,Q6NXU4,Q6ISV8,A5PLR1,Q6NWP9,A0PJT7,Q71DJ3,Q93081","1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38,1-38","P02296,P16106,P02295"
IID00059,"P62877,B2RDY1","12-39,12-39,12-39,12-39,12-39,12-39","Q9Y254,Q9WUK9,Q8N6Z8,Q9D1S2"
IID00058,"P62805,Q6FGB8,Q6NWP7,A2VCL0,Q6DRA9","1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25,1-25","P02305,P02304"
IID00053,"P52630,G3V2M6,Q9UDL4,Q16430,B4DLC7",786-838,Q16431
IID00052,"P49841,Q9UL47,D3DN89,Q9BWH3","2-34,2-34,285-291,285-291,285-291",
IID00049,"P46527,Q9BUS6,Q5U0H2,Q16307","1-198,1-198,1-198",
IID00047,"P42226,A8K316,Q71UP4,Q5FBW5,B7ZA27,F5GXI9",783-814,
IID00046,"P42224,A8K989,Q53S88,D3DPI7,Q68D00,Q9UDL5,B2RCA0,Q53XW4,D2KFR8",710-750,
IID00044,P39748,"45-59,103-133,357-380",
IID00043,"P38936,Q14010,Q9BUT4,Q6FI05","125-164,125-164,125-164,125-164,125-164,125-164,125-164",
IID00039,"Q8NI94,Q9H391,Q8NEW9,A8K1L7,P35222","692-781,692-781,141-149",
IID00037,"P31751,B2RBD8,Q0VAN0,Q68GC0,Q0VAN1,Q05BV0","189-197,297-312",
IID00035,"P25054,B7Z2B6,D3DT03,Q15162,Q93042,Q15163","1362-1745,1362-1745,1362-1745,1362-1745,1362-1745,1362-1745,1362-1745,1021-1035,1021-1035,1362-1745",
IID00034,"P24941,A8K7C6,O75100",153-164,
IID00024,"P13010,A8K3X5,Q7M4N0,Q4VBQ5,Q9UCQ0,Q53HH7,Q9UCQ1,Q0Z7V0",543-591,
IID00023,"P12956,Q9UCQ3,B1AHC8,Q6FG89,Q9UCQ2",539-558,
IID00017,"P06400,A8K5E3,Q8IZL4,P78499,Q5VW46","786-874,786-874,786-874,786-874",
IID00015,"P04637,Q16808,Q16807,Q15086,Q15088,Q15087,Q16809,Q16810,Q16811,Q16535,Q16848,Q3LRW1,Q3LRW2,Q3LRW5,Q99659,Q8J016,Q3LRW4,Q2XN98,Q3LRW3,Q86UG1,Q9BTM4,Q9NP68,Q9UBI2,Q9UQ61,Q9NPJ2,Q9HAQ8,Q9NZD0","1-93,1-93,1-93,1-93,1-93,367-388,367-388,367-388,367-388,367-388,1-93,1-93,367-388,367-388,367-388",
IID00013,"P03372,Q9NU51,Q9UDZ7,Q9UIS7,Q14276,Q5T5H7,Q6MZQ9,Q13511","220-236,297-305,297-305",
IID00011,"O95718,A2VDJ2,Q5F0P8,Q5F0P7,B6ZGU4,Q9HCB4",169-186,
IID00009,"O60341,A8MWP9,Q96AW4,Q8TAZ3,Q86VT7,Q8IXK4,Q5TH95,Q5TH94,Q8NDP6","460-474,460-474,460-474,460-474,1-170",
